Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,267.000000,267.579987,260.160004,265.000000,245.939224,3572000
2021-01-05,263.880005,273.500000,262.570007,270.929993,251.442673,4207100
2021-01-06,276.290009,288.380005,273.100006,285.549988,265.011078,6383500
2021-01-07,287.769989,295.890015,286.679993,291.649994,270.672302,4009700
2021-01-08,292.000000,292.279999,285.059998,290.079987,269.215271,2800800
2021-01-11,286.799988,295.000000,284.200012,293.829987,272.695587,2649700
2021-01-12,297.140015,303.980011,296.019989,302.209991,280.472809,4814400
2021-01-13,300.079987,303.720001,299.100006,302.940002,281.150299,2413800
2021-01-14,304.049988,309.410004,303.540009,307.869995,285.725677,3192200
2021-01-15,301.190002,304.859985,296.880005,301.010010,279.359070,3863700
2021-01-19,305.000000,306.600006,293.799988,294.200012,273.038940,6727800
2021-01-20,295.820007,297.450012,287.480011,290.470001,269.577209,4792600
2021-01-21,290.450012,292.739990,288.529999,289.369995,268.556366,2516000
2021-01-22,286.690002,290.589996,285.500000,289.390015,268.574951,2568800
2021-01-25,285.529999,286.350006,277.500000,283.040009,262.681671,4575000
2021-01-26,283.929993,285.769989,280.079987,281.760010,261.493713,3296800
2021-01-27,276.000000,277.369995,271.320007,273.329987,253.670044,3891800
2021-01-28,274.609985,279.829987,271.329987,275.019989,255.238480,3778700
2021-01-29,274.269989,277.399994,270.619995,271.170013,251.665421,3412000
2021-02-01,272.660004,276.799988,272.000000,274.730011,254.969376,2324100
2021-02-02,278.320007,288.250000,278.000000,286.970001,266.328979,5195500
2021-02-03,286.609985,289.809998,285.179993,288.549988,267.795380,2712800
2021-02-04,290.000000,295.829987,289.519989,293.750000,272.621307,2994700
2021-02-05,295.000000,297.239990,292.190002,293.500000,272.389282,2938100
2021-02-08,295.000000,300.890015,294.500000,300.149994,278.560974,2826200
2021-02-09,299.600006,302.450012,297.700012,300.459991,278.848694,2071700
2021-02-10,300.000000,305.179993,297.750000,304.279999,282.393890,3213700
2021-02-11,303.980011,305.010010,299.170013,302.320007,280.574890,2159900
2021-02-12,301.989990,306.700012,301.769989,306.320007,284.287201,1977300
2021-02-16,310.000000,312.920013,309.220001,311.959991,289.521515,2792200
2021-02-17,310.029999,314.980011,308.760010,312.739990,290.245422,2333100
2021-02-18,309.220001,314.500000,307.579987,309.899994,287.609650,2093300
2021-02-19,310.230011,316.779999,310.230011,315.619995,292.918213,2749500
2021-02-22,313.000000,320.559998,312.209991,316.869995,294.078339,3162300
2021-02-23,317.980011,320.000000,310.579987,319.209991,296.250031,2942500
2021-02-24,320.170013,330.970001,320.100006,330.640015,306.857971,3934400
2021-02-25,333.329987,335.809998,326.290009,327.760010,304.185059,4244000
2021-02-26,325.769989,328.679993,319.040009,319.480011,296.500641,3732200
2021-03-01,325.000000,331.040009,323.309998,329.920013,307.392426,2957800
2021-03-02,330.000000,336.190002,329.510010,330.940002,308.342773,2850300
2021-03-03,333.679993,340.100006,333.250000,334.429993,311.594452,3606300
2021-03-04,333.130005,339.760010,323.920013,329.290009,306.805450,3647600
2021-03-05,335.579987,335.579987,316.459991,327.369995,305.016510,3740200
2021-03-08,331.359985,337.589996,329.100006,334.190002,311.370789,2998000
2021-03-09,328.619995,336.390015,325.570007,330.589996,308.016693,3324800
2021-03-10,332.070007,342.399994,331.529999,342.019989,318.666168,3153100
2021-03-11,338.660004,345.000000,336.459991,342.100006,318.740723,2756600
2021-03-12,345.220001,350.000000,343.640015,348.809998,324.992523,2436700
2021-03-15,349.440002,352.420013,342.000000,346.049988,322.421021,2276200
2021-03-16,345.279999,346.899994,337.750000,341.709991,318.377380,2332600
2021-03-17,344.619995,347.029999,340.399994,344.950012,321.396088,2710900
2021-03-18,350.750000,356.850006,346.989990,348.000000,324.237854,3713000
2021-03-19,346.420013,347.239990,340.630005,344.200012,320.697357,3513000
2021-03-22,341.059998,342.880005,336.000000,339.329987,316.159851,2094500
2021-03-23,337.619995,341.890015,331.329987,331.769989,309.116058,2457500
2021-03-24,333.420013,336.940002,328.440002,328.649994,306.209137,3332200
2021-03-25,327.350006,331.390015,321.920013,330.549988,307.979401,2804700
2021-03-26,334.510010,335.450012,322.690002,327.390015,305.035217,3082600
2021-03-29,320.350006,327.760010,317.720001,325.730011,303.488525,4533200
2021-03-30,329.410004,335.750000,328.850006,332.010010,309.339691,2717300
2021-03-31,330.230011,332.649994,325.440002,327.000000,304.671814,2624500
2021-04-01,324.299988,329.660004,324.160004,327.640015,305.268127,2659000
2021-04-05,332.850006,332.850006,323.049988,323.540009,301.448090,3235000
2021-04-06,324.489990,328.540009,324.000000,327.059998,304.727722,1801700
2021-04-07,327.700012,329.200012,323.350006,326.549988,304.252533,2157300
2021-04-08,324.290009,331.489990,322.970001,331.140015,308.529083,2402800
2021-04-09,334.000000,334.899994,328.790009,330.809998,308.221619,2347100
2021-04-12,332.670013,334.480011,329.940002,331.839996,309.181305,2318800
2021-04-13,329.510010,330.049988,324.179993,327.679993,305.305328,3575900
2021-04-14,328.549988,344.470001,326.149994,335.350006,312.451630,9876800
2021-04-15,338.899994,341.350006,334.540009,338.549988,315.433136,4354800
2021-04-16,340.290009,343.739990,338.619995,342.309998,318.936371,4231900
2021-04-19,340.000000,344.429993,336.600006,343.089996,319.663116,3228200
2021-04-20,339.970001,340.470001,329.350006,331.880005,309.218628,3662300
2021-04-21,330.000000,335.470001,327.559998,335.269989,312.377045,2733300
2021-04-22,334.619995,336.970001,330.290009,330.850006,308.258881,2165200
2021-04-23,331.250000,340.670013,330.720001,339.350006,316.178497,2163800
2021-04-26,341.940002,345.899994,340.890015,343.519989,320.063751,2171500
2021-04-27,344.000000,347.549988,343.660004,346.630005,322.961456,2088600
2021-04-28,348.000000,350.119995,346.089996,348.109985,324.340332,2140900
2021-04-29,350.549988,353.829987,347.480011,352.970001,328.868469,2584400
2021-04-30,351.119995,352.820007,347.200012,348.450012,324.657104,2101100
2021-05-03,350.339996,354.059998,349.260010,350.160004,326.250397,1871700
2021-05-04,348.899994,351.779999,342.570007,349.839996,325.952271,2831400
2021-05-05,352.000000,359.140015,348.549988,357.619995,333.201019,2786800
2021-05-06,359.769989,366.299988,356.500000,365.970001,340.980865,3048700
2021-05-07,362.299988,371.649994,360.929993,370.890015,345.564911,3378100
2021-05-10,373.500000,376.980011,368.500000,368.679993,343.505768,3396300
2021-05-11,363.000000,368.630005,358.619995,359.920013,335.343964,3734300
2021-05-12,363.070007,368.130005,353.269989,354.399994,330.200836,3309800
2021-05-13,353.250000,360.890015,353.250000,358.809998,334.309723,2673900
